epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
144,900.315,1.2656,0.5146,0.0019,0.98207,0.9007,0.9472,0.64904,1.23219,0.45372,0.00253,0.0005843,0.0005843,0.0005843
145,907.408,1.19923,0.45557,0.00173,0.97749,0.90461,0.95086,0.65136,1.2626,0.43672,0.00257,0.0005744,0.0005744,0.0005744
146,913.217,1.24188,0.51046,0.00182,0.97516,0.90393,0.94438,0.6507,1.23306,0.44019,0.00252,0.0005645,0.0005645,0.0005645
147,919.028,1.23812,0.49655,0.0018,0.98546,0.8918,0.9436,0.6551,1.22266,0.4508,0.0025,0.0005546,0.0005546,0.0005546
148,924.826,1.20551,0.4545,0.00172,0.97018,0.90461,0.94602,0.66115,1.21582,0.43291,0.00249,0.0005447,0.0005447,0.0005447
149,933.532,1.19982,0.47085,0.00177,0.95479,0.90132,0.93841,0.65529,1.23057,0.4246,0.00247,0.0005348,0.0005348,0.0005348
150,939.332,1.22066,0.47874,0.00177,0.95789,0.89801,0.94446,0.64313,1.28584,0.43741,0.00256,0.0005249,0.0005249,0.0005249
151,945.157,1.21523,0.46283,0.00183,0.96157,0.90541,0.95178,0.65365,1.23023,0.44054,0.00249,0.000515,0.000515,0.000515
152,950.955,1.23965,0.46043,0.00181,0.96397,0.91118,0.94751,0.63952,1.29586,0.45036,0.00265,0.0005051,0.0005051,0.0005051
153,956.783,1.29539,0.49199,0.00185,0.96522,0.91301,0.94701,0.65062,1.22047,0.41235,0.00247,0.0004952,0.0004952,0.0004952
154,962.642,1.27685,0.51537,0.00187,0.96559,0.91447,0.94651,0.65081,1.23744,0.44081,0.00249,0.0004853,0.0004853,0.0004853
155,968.424,1.19026,0.47344,0.00179,0.97146,0.89564,0.94553,0.65796,1.23094,0.44086,0.0025,0.0004754,0.0004754,0.0004754
156,974.268,1.23275,0.46838,0.00177,0.97484,0.89206,0.95332,0.65863,1.20714,0.42348,0.00245,0.0004655,0.0004655,0.0004655
